UpperTaxon,Taxon,b,a
Turbellaria,Turbellaria,2.168,0.0082
Crustacea,Amphipoda,3.015,0.0058
Crustacea,Decapoda,3.626,0.0147
Crustacea,Isopoda,2.948,0.0054
Ephemeroptera,Ameletidae,2.588,0.0077
Ephemeroptera,Baetidae,2.875,0.0053
Ephemeroptera,Baetiscidae,2.905,0.0116
Ephemeroptera,Caenidae,2.772,0.0054
Ephemeroptera,Ephemerellidae,2.676,0.0103
Ephemeroptera,Ephemeridae,2.764,0.0034
Ephemeroptera,Heptageniidae,2.754,0.0108
Ephemeroptera,Isonychiidae,3.043,0.0031
Ephemeroptera,Leptophlebiidae,2.686,0.0047
Ephemeroptera,Polymitarcyidae,3.05,0.002
Ephemeroptera,Siphlonuridae,3.446,0.0027
Ephemeroptera,Tricorythidae,3.194,0.0061
Odonata,Aeshnidae,2.813,0.0082
Odonata,Calopterygidae,2.742,0.005
Odonata,Coenagrionidae,2.785,0.0051
Odonata,Cordulegastridae,2.782,0.0067
Odonata,Corduliidae,2.787,0.0096
Odonata,Gomphidae,2.787,0.0088
Odonata,Libellulidae,2.809,0.0076
Plecoptera,Capniidae,2.562,0.0049
Plecoptera,Chloroperlidae,2.724,0.0065
Plecoptera,Leuctridae,2.719,0.0028
Plecoptera,Nemouridae,2.762,0.0056
Plecoptera,Peltoperlidae,2.737,0.0170
Plecoptera,Perlidae,2.879,0.0099
Plecoptera,Perlodidae,2.742,0.0196
Plecoptera,Pteronarcyidae,2.573,0.0324
Plecoptera,Taeniopterygidae,2.655,0.0072
Hemiptera,Corixidae,2.904,0.0031
Hemiptera,Gerridae,2.596,0.015
Hemiptera,Veliidae,2.719,0.0126
Megaloptera,Corydalidae,2.873,0.0037
Megaloptera,Sialidae,2.753,0.0037
Trichoptera,Brachycentridae,2.818,0.0083
Trichoptera,Glossosomatidae,2.958,0.0082
Trichoptera,Helicopsychidae (case width),3.096,0.0125
Trichoptera,Hydropsychidae,2.926,0.0046
Trichoptera,Lepidostomatidae,2.649,0.0079
Trichoptera,Leptoceridae,3.212,0.0034
Trichoptera,Limnephilidae,2.933,0.0040
Trichoptera,Odontoceridae,2.988,0.0077
Trichoptera,Philopotamidae,2.511,0.0050
Trichoptera,Phryganeidae,2.811,0.0054
Trichoptera,Polycentropodidae,2.705,0.0047
Trichoptera,Psychomyiidae,2.873,0.0039
Trichoptera,Rhyacophilidae,2.48,0.0099
Trichoptera,Sericostomatidae,2.741,0.0074
Lepidoptera,Pyralidae,2.918,0.0033
Coleoptera,Chrysomelidae,3.111,0.039
Coleoptera,Elmidae,2.879,0.0074
Coleoptera,Psephenidae,2.906,0.0123
Coleoptera,Ptilodactylidae,3.1,0.0012
Diptera,Athericidae,2.586,0.004
Diptera,Blephariceridae,3.292,0.0067
Diptera,Ceratopogonidae,2.469,0.0025
Diptera,Chironomidae,2.617,0.0018
Diptera,Empididae,2.546,0.0054
Diptera,Sciaridae,2.091,0.0042
Diptera,Simuliidae,3.011,0.0020
Diptera,Tabanidae,2.591,0.005
Diptera,Tipulidae,2.681,0.0029