"siteID","year","month","percCov","survey","aquaticSiteType"
"ARIK",2014,7,50.9266666666667,2014-07-01,"stream"
"ARIK",2015,7,72.995,2015-07-01,"stream"
"ARIK",2016,7,70.785,2016-07-01,"stream"
"ARIK",2017,7,11.4605555555556,2017-07-01,"stream"
"ARIK",2018,6,13.3283333333333,2018-06-01,"stream"
"ARIK",2019,7,5.67916666666667,2019-07-01,"stream"
"ARIK",2021,7,35.2008333333333,2021-07-01,"stream"
"ARIK",2023,7,24.4947222222222,2023-07-01,"stream"
"BIGC",2018,7,82.2588888888889,2018-07-01,"stream"
"BIGC",2019,7,88.5808333333333,2019-07-01,"stream"
"BIGC",2021,8,81.0666666666667,2021-08-01,"stream"
"BIGC",2022,8,87.5638888888889,2022-08-01,"stream"
"BIGC",2023,8,81.4231481481481,2023-08-01,"stream"
"BLDE",2018,6,41.5691666666667,2018-06-01,"stream"
"BLDE",2019,6,47.4791666666667,2019-06-01,"stream"
"BLDE",2020,6,NA,2020-06-01,"stream"
"BLDE",2021,7,46.2247222222222,2021-07-01,"stream"
"BLDE",2023,6,55.1475,2023-06-01,"stream"
"BLUE",2017,6,62.2727083333333,2017-06-01,"stream"
"BLUE",2018,6,69.5083333333333,2018-06-01,"stream"
"BLUE",2019,6,60.3908333333333,2019-06-01,"stream"
"BLUE",2021,6,75.7549603174603,2021-06-01,"stream"
"BLUE",2022,5,73.4583333333333,2022-05-01,"stream"
"BLUE",2022,6,57.0222222222222,2022-06-01,"stream"
"BLUE",2023,6,52.632671957672,2023-06-01,"stream"
"CARI",2017,7,73.3622569444445,2017-07-01,"stream"
"CARI",2018,8,67.8895833333333,2018-08-01,"stream"
"CARI",2019,6,72.1163888888889,2019-06-01,"stream"
"CARI",2020,6,67.5938888888889,2020-06-01,"stream"
"CARI",2021,7,72.89,2021-07-01,"stream"
"CARI",2022,8,68.9905555555556,2022-08-01,"stream"
"CARI",2023,7,77.405,2023-07-01,"stream"
"COMO",2016,9,74.3579166666667,2016-09-01,"stream"
"COMO",2017,8,81.7584362139918,2017-08-01,"stream"
"COMO",2018,8,85.8330555555556,2018-08-01,"stream"
"COMO",2019,8,81.9658333333333,2019-08-01,"stream"
"COMO",2020,8,74.0983333333333,2020-08-01,"stream"
"COMO",2021,7,78.5783333333333,2021-07-01,"stream"
"COMO",2023,8,80.4283333333333,2023-08-01,"stream"
"CUPE",2015,4,84.8030555555556,2015-04-01,"stream"
"CUPE",2016,8,77.1791666666667,2016-08-01,"stream"
"CUPE",2017,11,78.2172222222222,2017-11-01,"stream"
"CUPE",2018,12,86.6666666666667,2018-12-01,"stream"
"CUPE",2019,10,85.5383333333333,2019-10-01,"stream"
"CUPE",2020,12,92.9704166666667,2020-12-01,"stream"
"CUPE",2021,12,90.6219444444444,2021-12-01,"stream"
"CUPE",2023,1,93.8179166666667,2023-01-01,"stream"
"CUPE",2023,12,87.6244444444444,2023-12-01,"stream"
"GUIL",2015,4,53.4016666666667,2015-04-01,"stream"
"GUIL",2016,8,59.9,2016-08-01,"stream"
"GUIL",2017,11,48.38,2017-11-01,"stream"
"GUIL",2018,10,73.9133333333333,2018-10-01,"stream"
"GUIL",2019,10,60.7520833333333,2019-10-01,"stream"
"GUIL",2020,11,53.8984375,2020-11-01,"stream"
"GUIL",2021,11,76.1988425925926,2021-11-01,"stream"
"GUIL",2022,10,45.16625,2022-10-01,"stream"
"GUIL",2023,10,61.1309523809524,2023-10-01,"stream"
"GUIL",2023,11,71.9435185185185,2023-11-01,"stream"
"HOPB",2017,8,42.1041666666667,2017-08-01,"stream"
"HOPB",2018,6,84.7508333333333,2018-06-01,"stream"
"HOPB",2019,6,89.8416666666667,2019-06-01,"stream"
"HOPB",2020,6,87.9783333333333,2020-06-01,"stream"
"HOPB",2021,6,92.0041666666667,2021-06-01,"stream"
"HOPB",2022,6,94.2294444444444,2022-06-01,"stream"
"HOPB",2023,6,95.5125,2023-06-01,"stream"
"KING",2017,6,79.36,2017-06-01,"stream"
"KING",2017,8,68.9924537037037,2017-08-01,"stream"
"KING",2018,6,75.7391666666667,2018-06-01,"stream"
"KING",2019,6,91.2725,2019-06-01,"stream"
"KING",2020,6,76.5566666666667,2020-06-01,"stream"
"KING",2021,6,76.2428571428571,2021-06-01,"stream"
"KING",2023,7,85.3469444444444,2023-07-01,"stream"
"LECO",2016,8,90.1695833333333,2016-08-01,"stream"
"LECO",2017,8,90.1925,2017-08-01,"stream"
"LECO",2018,8,90.1483333333333,2018-08-01,"stream"
"LECO",2019,9,88.6733333333333,2019-09-01,"stream"
"LECO",2021,9,94.16,2021-09-01,"stream"
"LECO",2022,9,93.3619444444444,2022-09-01,"stream"
"LECO",2023,8,90.1483333333333,2023-08-01,"stream"
"LEWI",2017,5,87.0930555555556,2017-05-01,"stream"
"LEWI",2018,5,92.3975,2018-05-01,"stream"
"LEWI",2019,6,90.245,2019-06-01,"stream"
"LEWI",2020,8,91.1475,2020-08-01,"stream"
"LEWI",2021,6,90.7816666666667,2021-06-01,"stream"
"LEWI",2022,6,92.8863888888889,2022-06-01,"stream"
"LEWI",2023,5,88.9725,2023-05-01,"stream"
"MART",2018,6,84.0691666666667,2018-06-01,"stream"
"MART",2019,6,84.8091666666667,2019-06-01,"stream"
"MART",2021,6,88.0816666666667,2021-06-01,"stream"
"MART",2023,7,84.8983333333333,2023-07-01,"stream"
"MAYF",2015,7,94.3913888888889,2015-07-01,"stream"
"MAYF",2016,7,95.5366666666667,2016-07-01,"stream"
"MAYF",2017,8,89.6836111111111,2017-08-01,"stream"
"MAYF",2018,8,76.1875,2018-08-01,"stream"
"MAYF",2019,8,88.625,2019-08-01,"stream"
"MAYF",2021,8,NA,2021-08-01,"stream"
"MAYF",2022,8,92.9669444444444,2022-08-01,"stream"
"MAYF",2023,8,97.6925,2023-08-01,"stream"
"MCDI",2017,6,59.4133333333333,2017-06-01,"stream"
"MCDI",2018,6,80.9733333333333,2018-06-01,"stream"
"MCDI",2019,6,76.7683333333333,2019-06-01,"stream"
"MCDI",2020,6,74.0233333333333,2020-06-01,"stream"
"MCDI",2021,8,NA,2021-08-01,"stream"
"MCDI",2023,7,70.6783333333333,2023-07-01,"stream"
"MCRA",2017,8,87.2343055555556,2017-08-01,"stream"
"MCRA",2018,6,91.5772222222222,2018-06-01,"stream"
"MCRA",2019,6,85.8766666666667,2019-06-01,"stream"
"MCRA",2020,8,93.8258333333333,2020-08-01,"stream"
"MCRA",2021,10,NA,2021-10-01,"stream"
"MCRA",2022,8,92.1575,2022-08-01,"stream"
"OKSR",2017,7,0,2017-07-01,"stream"
"OKSR",2017,8,0,2017-08-01,"stream"
"OKSR",2019,7,0,2019-07-01,"stream"
"OKSR",2020,8,0,2020-08-01,"stream"
"OKSR",2021,7,0,2021-07-01,"stream"
"OKSR",2022,7,0,2022-07-01,"stream"
"OKSR",2023,7,0,2023-07-01,"stream"
"POSE",2015,7,83.3825,2015-07-01,"stream"
"POSE",2016,7,84.8,2016-07-01,"stream"
"POSE",2017,5,89.2866666666667,2017-05-01,"stream"
"POSE",2018,5,94.0641666666667,2018-05-01,"stream"
"POSE",2019,5,90.2975,2019-05-01,"stream"
"POSE",2020,9,94.75,2020-09-01,"stream"
"POSE",2021,6,92.8383333333333,2021-06-01,"stream"
"POSE",2022,5,94.2613888888889,2022-05-01,"stream"
"POSE",2023,5,75.6866666666667,2023-05-01,"stream"
"PRIN",2017,4,73.3783333333333,2017-04-01,"stream"
"PRIN",2018,4,70.3916666666667,2018-04-01,"stream"
"PRIN",2019,4,79.3625,2019-04-01,"stream"
"PRIN",2021,6,83.18,2021-06-01,"stream"
"PRIN",2022,6,84.0645833333333,2022-06-01,"stream"
"PRIN",2023,6,86.8625,2023-06-01,"stream"
"REDB",2017,7,81.4998611111111,2017-07-01,"stream"
"REDB",2018,7,86.3733333333333,2018-07-01,"stream"
"REDB",2019,7,89.3502777777778,2019-07-01,"stream"
"REDB",2021,8,NA,2021-08-01,"stream"
"REDB",2022,7,93.625,2022-07-01,"stream"
"REDB",2023,7,95.5378968253968,2023-07-01,"stream"
"SYCA",2018,3,52.8016666666667,2018-03-01,"stream"
"SYCA",2019,4,50.7733333333333,2019-04-01,"stream"
"SYCA",2021,3,49.3158333333333,2021-03-01,"stream"
"SYCA",2022,3,34.7033333333333,2022-03-01,"stream"
"SYCA",2023,3,38.5130952380952,2023-03-01,"stream"
"SYCA",2023,4,31.6944444444444,2023-04-01,"stream"
"TECR",2019,7,90.3383333333333,2019-07-01,"stream"
"TECR",2021,8,88.7725,2021-08-01,"stream"
"TECR",2022,8,92.9408333333333,2022-08-01,"stream"
"WALK",2016,8,93.3783333333333,2016-08-01,"stream"
"WALK",2017,8,79.7608333333333,2017-08-01,"stream"
"WALK",2018,8,91.955,2018-08-01,"stream"
"WALK",2019,8,91.1716666666667,2019-08-01,"stream"
"WALK",2021,6,90.4833333333333,2021-06-01,"stream"
"WALK",2022,6,93.9208333333333,2022-06-01,"stream"
"WALK",2023,6,93.2291666666667,2023-06-01,"stream"
"WLOU",2017,7,85.3938888888889,2017-07-01,"stream"
"WLOU",2018,6,80.1416666666667,2018-06-01,"stream"
"WLOU",2019,9,72.5033333333333,2019-09-01,"stream"
"WLOU",2021,6,78.485,2021-06-01,"stream"
"WLOU",2023,7,76.4638888888889,2023-07-01,"stream"
